reporter.mk	2,473,409	179,661	114,152	0.56 €	0.00 €	0	60.03 €
kajgana.com	2,355,852	354,134	148,594	0.13 €	0.00 €	0	18.69 €
prva.rs	2,189,475	342,405	259,279	0.53 €	0.00 €	0	108.95 €
b92.net app ios	1,068,256	825,551	687,500	0.38 €	0.00 €	0	263.00 €
gruenderlexikon.de	983,510	627,825	535,437	0.36 €	0.47 €	19,435	204.03 €
gorazdeonline.ba	982,278	141,818	67,653	0.16 €	0.04 €	69,758	9.08 €
sportske.ba	972,601	300,630	294,709	0.19 €	0.00 €	0	55.80 €
mojabih.oslobodjenje.ba	849,895	479,158	449,090	0.28 €	0.00 €	0	123.37 €
srbijajavlja.rs	594,993	328,102	165,524	0.24 €	0.13 €	15,323	133.13 €
sportklub.hr	426,506	75,261	74,911	0.25 €	0.00 €	0	18.31 €
mtba5i.com	379,257	9,769	16,010	0.02 €	0.01 €	50,082	0.34 €
idjtv.com	277,544	70,274	70,065	0.18 €	0.00 €	0	12.84 €
bastabalkana.com	262,736	16,143	443	0.09 €	0.13 €	18,472	0.04 €
kukuklok.com	195,572	183,720	178,098	2.16 €	0.00 €	0	386.52 €
naanoo.com	161,083	131,536	109,204	0.74 €	0.13 €	968	78.12 €
localpedia.de	107,364	32,005	10,425	0.74 €	0.13 €	3,200	3.84 €
krstarica.com	61,819	13,900	13,553	0.19 €	0.00 €	0	2.63 €
sportklub.si	61,608	17,393	17,307	0.27 €	0.00 €	0	4.66 €
mlapplications.com	48,762	15,994	10,350	2.28 €	0.09 €	1,288	22.25 €
wissen.naanoo.de	20,223	15,243	8,358	0.50 €	0.00 €	0	3.48 €
infokosova.net	18,411	0	0	0.00 €	0.00 €	0	0.00 €
cazin.net	10,368	690	4	0.04 €	0.09 €	0	0.00 €
naanoo.de	7,479	7,044	6,261	0.62 €	0.00 €	0	4.00 €
finanzen.naanoo.de	5,800	4,408	3,256	1.08 €	0.00 €	0	3.32 €
24vesti.com	5,608	727	793	0.25 €	0.12 €	0	0.13 €
gesundheit.naanoo.de	3,513	2,978	1,573	0.99 €	0.00 €	0	1.34 €
Eczane IOS	3,015	2,539	1,108	0.50 €	0.00 €	0	0.52 €
srbijajavlja.com	2,283	59	19	0.05 €	0.00 €	36	0.00 €
l0k4.com	306	0	0	0.00 €	0.00 €	18	0.00 €
